Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_H,Type_L,Type_M,Power,Temp_diff,Tool_wear_squared
298.1,308.6,1551.0,42.8,0,0,0,0,0,0,0,False,False,True,66382.79999999999,10.5,0
298.2,308.7,1408.0,46.3,3,0,0,0,0,0,0,False,True,False,65190.399999999994,10.5,9
298.1,308.5,1498.0,49.4,5,0,0,0,0,0,0,False,True,False,74001.2,10.399999999999977,25
298.2,308.6,1433.0,39.5,7,0,0,0,0,0,0,False,True,False,56603.5,10.400000000000034,49
298.2,308.7,1408.0,40.0,9,0,0,0,0,0,0,False,True,False,56320.0,10.5,81
298.1,308.6,1425.0,41.9,11,0,0,0,0,0,0,False,False,True,59707.5,10.5,121
298.1,308.6,1558.0,42.4,14,0,0,0,0,0,0,False,True,False,66059.2,10.5,196
298.1,308.6,1527.0,40.2,16,0,0,0,0,0,0,False,True,False,61385.4,10.5,256
298.3,308.7,1667.0,28.6,18,0,0,0,0,0,0,False,False,True,47676.200000000004,10.399999999999977,324
298.5,309.0,1741.0,28.0,21,0,0,0,0,0,0,False,False,True,48748.0,10.5,441
298.4,308.9,1782.0,23.9,24,0,0,0,0,0,0,True,False,False,42589.799999999996,10.5,576
298.6,309.1,1423.0,44.3,29,0,0,0,0,0,0,True,False,False,63038.899999999994,10.5,841
298.6,309.1,1339.0,51.1,34,0,0,0,0,0,0,False,False,True,68422.90000000001,10.5,1156
298.6,309.2,1742.0,30.0,37,0,0,0,0,0,0,False,False,True,52260.0,10.599999999999966,1369
298.6,309.2,1895.5,19.6,40,0,0,0,0,0,0,False,True,False,37151.8,10.599999999999966,1600
298.6,309.2,1542.0,48.4,42,0,0,0,0,0,0,False,True,False,74632.8,10.599999999999966,1764
298.6,309.2,1311.0,46.6,44,0,0,0,0,0,0,False,False,True,61092.6,10.599999999999966,1936
298.7,309.2,1410.0,45.6,47,0,0,0,0,0,0,False,False,True,64296.0,10.5,2209
298.8,309.2,1306.0,54.5,50,0,0,0,0,0,0,True,False,False,71177.0,10.399999999999977,2500
298.9,309.3,1632.0,32.5,55,0,0,0,0,0,0,False,False,True,53040.0,10.400000000000034,3025
298.9,309.3,1375.0,42.7,58,0,0,0,0,0,0,True,False,False,58712.50000000001,10.400000000000034,3364
298.8,309.3,1450.0,44.8,63,0,0,0,0,0,0,False,True,False,64959.99999999999,10.5,3969
298.9,309.3,1581.0,30.7,65,0,0,0,0,0,0,False,False,True,48536.7,10.400000000000034,4225
299.0,309.4,1758.0,25.7,68,0,0,0,0,0,0,False,True,False,45180.6,10.399999999999977,4624
299.0,309.4,1561.0,37.3,70,0,0,0,0,0,0,False,False,True,58225.299999999996,10.399999999999977,4900
299.0,309.5,1861.0,23.3,73,0,0,0,0,0,0,False,True,False,43361.3,10.5,5329
299.1,309.5,1512.0,39.0,75,0,0,0,0,0,0,False,True,False,58968.0,10.399999999999977,5625
299.1,309.4,1811.0,24.6,77,0,0,0,0,0,0,True,False,False,44550.600000000006,10.299999999999955,5929
299.1,309.4,1439.0,44.2,82,0,0,0,0,0,0,False,True,False,63603.8,10.299999999999955,6724
299.0,309.4,1693.0,30.1,84,0,0,0,0,0,0,False,True,False,50959.3,10.399999999999977,7056
299.1,309.5,1339.0,48.2,86,0,0,0,0,0,0,False,False,True,64539.8,10.399999999999977,7396
299.0,309.4,1798.0,25.5,89,0,0,0,0,0,0,False,True,False,45849.0,10.399999999999977,7921
299.0,309.4,1419.0,48.3,91,0,0,0,0,0,0,False,True,False,68537.7,10.399999999999977,8281
298.9,309.3,1665.0,32.5,93,0,0,0,0,0,0,False,True,False,54112.5,10.400000000000034,8649
298.8,309.1,1559.0,34.7,95,0,0,0,0,0,0,False,False,True,54097.3,10.300000000000011,9025
298.8,309.2,1452.0,48.6,98,0,0,0,0,0,0,False,False,True,70567.2,10.399999999999977,9604
298.9,309.2,1581.0,36.7,101,0,0,0,0,0,0,False,False,True,58022.700000000004,10.300000000000011,10201
298.8,309.1,1439.0,39.2,104,0,0,0,0,0,0,False,True,False,56408.8,10.300000000000011,10816
298.9,309.2,1379.0,50.7,106,0,0,0,0,0,0,True,False,False,69915.3,10.300000000000011,11236
298.8,309.1,1350.0,52.5,111,0,0,0,0,0,0,False,True,False,70875.0,10.300000000000011,12321
298.8,309.1,1362.0,45.4,113,0,0,0,0,0,0,False,True,False,61834.799999999996,10.300000000000011,12769
298.8,309.1,1368.0,50.8,115,0,0,0,0,0,0,False,True,False,69494.4,10.300000000000011,13225
298.8,309.1,1368.0,49.1,117,0,0,0,0,0,0,False,False,True,67168.8,10.300000000000011,13689
298.8,309.2,1372.0,48.5,120,0,0,0,0,0,0,True,False,False,66542.0,10.399999999999977,14400
298.8,309.1,1472.0,47.5,125,0,0,0,0,0,0,False,False,True,69920.0,10.300000000000011,15625
298.8,309.1,1489.0,49.1,128,0,0,0,0,0,0,False,True,False,73109.90000000001,10.300000000000011,16384
298.7,309.0,1843.0,25.8,130,0,0,0,0,0,0,False,False,True,47549.4,10.300000000000011,16900
298.8,309.1,1418.0,46.3,133,0,0,0,0,0,0,False,True,False,65653.4,10.300000000000011,17689
298.8,309.2,1425.0,53.9,135,0,0,0,0,0,0,True,False,False,76807.5,10.399999999999977,18225
298.9,309.2,1412.0,44.1,140,0,0,0,0,0,0,False,False,True,62269.200000000004,10.300000000000011,19600
298.9,309.1,1895.5,12.800000000000011,143,1,0,0,1,0,0,False,True,False,24262.400000000023,10.200000000000045,20449
298.9,309.1,1383.0,54.9,145,0,0,0,0,0,0,False,True,False,75926.7,10.200000000000045,21025
298.8,309.0,1497.0,43.8,147,0,0,0,0,0,0,True,False,False,65568.59999999999,10.199999999999989,21609
298.7,309.0,1565.0,35.1,152,0,0,0,0,0,0,False,True,False,54931.5,10.300000000000011,23104
298.7,309.0,1691.0,30.1,154,0,0,0,0,0,0,False,True,False,50899.100000000006,10.300000000000011,23716
298.8,309.1,1512.0,40.7,156,0,0,0,0,0,0,False,True,False,61538.4,10.300000000000011,24336
298.8,309.1,1477.0,42.4,158,0,0,0,0,0,0,False,True,False,62624.799999999996,10.300000000000011,24964
298.8,309.1,1513.0,40.3,160,0,0,0,0,0,0,False,True,False,60973.899999999994,10.300000000000011,25600
298.8,309.0,1661.0,29.5,162,0,0,0,0,0,0,False,False,True,48999.5,10.199999999999989,26244
298.8,309.1,1378.0,54.4,165,0,0,0,0,0,0,False,True,False,74963.2,10.300000000000011,27225
298.8,309.1,1393.0,52.6,167,0,0,0,0,0,0,False,True,False,73271.8,10.300000000000011,27889
298.8,309.0,1592.0,38.2,169,0,0,0,0,0,0,False,False,True,60814.4,10.199999999999989,28561
298.8,309.0,1829.0,22.9,172,0,0,0,0,0,0,False,True,False,41884.1,10.199999999999989,29584
298.9,309.0,1812.0,25.9,174,0,0,0,0,0,0,False,False,True,46930.799999999996,10.100000000000023,30276
299.0,309.1,1523.0,38.6,177,0,0,0,0,0,0,False,True,False,58787.8,10.100000000000023,31329
299.0,309.1,1394.0,45.1,179,0,0,0,0,0,0,False,True,False,62869.4,10.100000000000023,32041
298.9,308.9,1679.0,28.7,181,0,0,0,0,0,0,False,False,True,48187.299999999996,10.0,32761
298.8,308.9,1466.0,44.1,184,0,0,0,0,0,0,True,False,False,64650.6,10.099999999999966,33856
298.8,308.9,1527.0,32.4,189,0,0,0,0,0,0,False,True,False,49474.799999999996,10.099999999999966,35721
298.9,309.0,1410.0,65.7,191,1,0,0,1,1,0,False,True,False,92637.0,10.100000000000023,36481
298.9,309.0,1895.5,22.6,193,0,0,0,0,0,0,False,False,True,42838.3,10.100000000000023,37249
298.9,309.1,1452.0,45.5,196,0,0,0,0,0,0,False,True,False,66066.0,10.200000000000045,38416
298.9,309.1,1369.0,44.4,198,0,0,0,0,0,0,False,True,False,60783.6,10.200000000000045,39204
299.0,309.1,1592.0,35.0,200,0,0,0,0,0,0,False,True,False,55720.0,10.100000000000023,40000
298.9,309.0,1601.0,32.3,202,0,0,0,0,0,0,False,True,False,51712.299999999996,10.100000000000023,40804
298.8,308.9,1379.0,46.7,204,0,0,0,0,0,0,False,True,False,64399.3,10.099999999999966,41616
298.8,308.9,1461.0,47.9,206,0,0,0,0,0,0,False,True,False,69981.9,10.099999999999966,42436
298.8,308.9,1455.0,41.3,208,1,1,0,0,0,0,False,True,False,60091.49999999999,10.099999999999966,43264
298.8,308.9,1398.0,51.5,0,0,0,0,0,0,0,False,True,False,71997.0,10.099999999999966,0
298.8,308.9,1402.0,37.9,2,0,0,0,0,0,0,False,True,False,53135.799999999996,10.099999999999966,4
298.8,308.8,1445.0,49.9,4,0,0,0,0,0,0,True,False,False,72105.5,10.0,16
298.9,308.9,1450.0,47.5,9,0,0,0,0,0,0,False,True,False,68875.0,10.0,81
298.9,308.9,1453.0,40.8,11,0,0,0,0,0,0,False,True,False,59282.399999999994,10.0,121
299.0,309.0,1469.0,40.1,13,0,0,0,0,0,0,False,True,False,58906.9,10.0,169
298.9,308.9,1422.0,47.6,15,0,0,0,0,0,0,False,True,False,67687.2,10.0,225
299.0,309.0,1804.0,26.8,17,0,0,0,0,0,0,False,False,True,48347.200000000004,10.0,289
299.0,309.0,1436.0,43.9,20,0,0,0,0,0,0,True,False,False,63040.4,10.0,400
299.0,309.0,1544.0,31.8,25,0,0,0,0,0,0,False,True,False,49099.200000000004,10.0,625
299.0,309.0,1419.0,45.2,27,0,0,0,0,0,0,False,False,True,64138.8,10.0,729
298.9,308.9,1487.0,39.5,30,0,0,0,0,0,0,False,False,True,58736.5,10.0,900
298.9,308.9,1753.0,25.8,33,0,0,0,0,0,0,False,True,False,45227.4,10.0,1089
298.9,308.9,1830.0,24.9,35,0,0,0,0,0,0,False,True,False,45567.0,10.0,1225
298.9,308.9,1727.0,27.1,37,0,0,0,0,0,0,False,False,True,46801.700000000004,10.0,1369
299.1,309.0,1450.0,43.0,40,0,0,0,0,0,0,False,True,False,62350.0,9.899999999999977,1600
299.0,308.9,1622.0,31.9,42,0,0,0,0,0,0,False,True,False,51741.799999999996,9.899999999999977,1764
299.0,309.0,1351.0,52.2,44,0,0,0,0,0,0,False,False,True,70522.2,10.0,1936
299.0,309.0,1575.0,35.3,47,0,0,0,0,0,0,False,False,True,55597.49999999999,10.0,2209
298.9,308.9,1750.0,29.9,50,0,0,0,0,0,0,False,False,True,52325.0,10.0,2500
298.9,308.8,1529.0,32.7,53,0,0,0,0,0,0,False,True,False,49998.3,9.900000000000034,2809
298.8,308.8,1523.0,44.4,55,0,0,0,0,0,0,False,True,False,67621.2,10.0,3025
298.8,308.9,1852.0,25.0,57,0,0,0,0,0,0,False,True,False,46300.0,10.099999999999966,3249
298.8,308.8,1895.5,20.7,59,0,0,0,0,0,0,False,True,False,39236.85,10.0,3481
298.8,308.8,1555.0,40.6,61,0,0,0,0,0,0,False,True,False,63133.0,10.0,3721
298.8,308.8,1441.0,40.5,63,0,0,0,0,0,0,False,False,True,58360.5,10.0,3969
298.8,308.7,1450.0,43.4,66,0,0,0,0,0,0,False,True,False,62930.0,9.899999999999977,4356
298.8,308.7,1591.0,31.1,68,0,0,0,0,0,0,False,True,False,49480.100000000006,9.899999999999977,4624
298.8,308.7,1445.0,48.5,70,0,0,0,0,0,0,False,True,False,70082.5,9.899999999999977,4900
298.8,308.8,1497.0,46.8,72,0,0,0,0,0,0,False,False,True,70059.59999999999,10.0,5184
298.9,308.8,1621.0,32.7,75,0,0,0,0,0,0,True,False,False,53006.700000000004,9.900000000000034,5625
298.9,308.7,1572.0,34.1,80,0,0,0,0,0,0,False,True,False,53605.200000000004,9.800000000000011,6400
298.8,308.6,1872.0,22.5,82,0,0,0,0,0,0,False,True,False,42120.0,9.800000000000011,6724
298.7,308.6,1499.0,43.5,84,0,0,0,0,0,0,True,False,False,65206.5,9.900000000000034,7056
298.8,308.7,1498.0,39.5,89,0,0,0,0,0,0,False,False,True,59171.0,9.899999999999977,7921
298.8,308.6,1486.0,41.9,92,0,0,0,0,0,0,False,False,True,62263.4,9.800000000000011,8464
298.8,308.6,1680.0,29.4,95,0,0,0,0,0,0,False,True,False,49392.0,9.800000000000011,9025
298.8,308.6,1431.0,45.7,97,0,0,0,0,0,0,False,True,False,65396.700000000004,9.800000000000011,9409
298.9,308.7,1564.0,34.1,99,0,0,0,0,0,0,False,True,False,53332.4,9.800000000000011,9801
298.8,308.6,1599.0,33.0,101,0,0,0,0,0,0,False,True,False,52767.0,9.800000000000011,10201
298.8,308.6,1707.0,28.1,103,0,0,0,0,0,0,False,False,True,47966.700000000004,9.800000000000011,10609
298.7,308.5,1467.0,40.7,106,0,0,0,0,0,0,False,True,False,59706.9,9.800000000000011,11236
298.9,308.7,1433.0,44.7,108,0,0,0,0,0,0,False,True,False,64055.100000000006,9.800000000000011,11664
298.9,308.7,1558.0,41.2,110,0,0,0,0,0,0,False,True,False,64189.600000000006,9.800000000000011,12100
299.0,308.8,1310.0,50.7,112,0,0,0,0,0,0,False,True,False,66417.0,9.800000000000011,12544
298.9,308.7,1546.0,43.4,114,0,0,0,0,0,0,False,True,False,67096.4,9.800000000000011,12996
298.9,308.7,1727.0,29.4,116,0,0,0,0,0,0,False,True,False,50773.799999999996,9.800000000000011,13456
298.9,308.6,1560.0,32.2,118,0,0,0,0,0,0,False,True,False,50232.00000000001,9.700000000000045,13924
299.0,308.6,1329.0,60.5,120,0,0,0,0,0,0,False,True,False,80404.5,9.600000000000023,14400
298.9,308.6,1413.0,46.5,122,0,0,0,0,0,0,False,True,False,65704.5,9.700000000000045,14884
299.0,308.6,1587.0,38.6,124,0,0,0,0,0,0,False,True,False,61258.200000000004,9.600000000000023,15376
298.9,308.5,1559.0,34.3,126,0,0,0,0,0,0,False,True,False,53473.7,9.600000000000023,15876
298.8,308.4,1473.0,41.1,128,0,0,0,0,0,0,False,True,False,60540.3,9.599999999999966,16384
298.8,308.4,1737.0,27.7,130,0,0,0,0,0,0,False,True,False,48114.9,9.599999999999966,16900
298.7,308.4,1441.0,43.2,132,0,0,0,0,0,0,False,False,True,62251.200000000004,9.699999999999989,17424
298.7,308.4,1430.0,49.6,135,0,0,0,0,0,0,False,False,True,70928.0,9.699999999999989,18225
298.8,308.4,1369.0,53.0,138,0,0,0,0,0,0,False,True,False,72557.0,9.599999999999966,19044
298.8,308.5,1711.0,28.5,140,0,0,0,0,0,0,False,False,True,48763.5,9.699999999999989,19600
298.7,308.5,1420.0,45.7,143,0,0,0,0,0,0,True,False,False,64894.00000000001,9.800000000000011,20449
298.7,308.6,1297.0,55.3,148,0,0,0,0,0,0,False,True,False,71724.09999999999,9.900000000000034,21904
298.8,308.6,1449.0,49.4,150,0,0,0,0,0,0,True,False,False,71580.59999999999,9.800000000000011,22500
